actor_id,actor_name,drama_name,character_name,role
b9d61c9a-75fc-47d7-b7a4-974550253c16,Nishioka Tokuma,Shosetsu O,Uchiyama Mitsuki [Influential novelist],Support Role
b9d61c9a-75fc-47d7-b7a4-974550253c16,Nishioka Tokuma,Kahogo no Kahoko,"Namiki Fukushi / ""Jiiji"" [Kahoko's grandfather, Izumi's father]",Support Role
1308f0fe-b462-452e-b2ca-23a6c3f4f7a2,Jinnai Takanori,Top League,Akutsu Yasuo,Support Role
1308f0fe-b462-452e-b2ca-23a6c3f4f7a2,Jinnai Takanori,Ame ga Furu to Kimi wa Yasashii,Kazuma Kurata,Support Role
25976b00-59a0-40e8-92dd-fb5577d23b01,Sakakibara Ikue,Kodoku no Gurume Season 8,[Mother] (Ep. 1),Guest Role
25976b00-59a0-40e8-92dd-fb5577d23b01,Sakakibara Ikue,Platinum Age,Isayama Kaori,Main Role
24bd2244-fa16-420f-97bb-7697c66b29e0,Shibayama Miho,Busu no Hitomi ni Koishiteru,(Ep. 5),Guest Role
0f63c454-cc29-4373-b21c-79af8bd954b5,Konno Anna,Kafka no Tokyo Zetsubo Nikki,Agawa Rurika,Support Role
0f63c454-cc29-4373-b21c-79af8bd954b5,Konno Anna,Furin Shokudou,Shinohara Mai (Ep. 2),Guest Role
7a5f7c16-f469-4cf1-ad69-2f0cf738a87c,Kin Takao,Kafka no Tokyo Zetsubo Nikki,Yamashiro,Support Role
7a5f7c16-f469-4cf1-ad69-2f0cf738a87c,Kin Takao,Kodoku no Gurume Season 5,Ozaki,Support Role
12f52cbb-81fd-4e2c-9aca-ad6762aa9d3d,Otomo Kohei,Banjo no Himawari,Ishiba Takeshi,Support Role
12f52cbb-81fd-4e2c-9aca-ad6762aa9d3d,Otomo Kohei,Joi Kuraishi Shouko: Shi no Naika Byoutou,Akai Kazuyoshi,Support Role
525d3174-6b9d-49f7-968e-cdb00d92e305,Dan Fumi,Banjo no Himawari,Karasawa Yoshiko,Support Role
525d3174-6b9d-49f7-968e-cdb00d92e305,Dan Fumi,Semi Otoko,Shono Kugiko,Support Role
525d3174-6b9d-49f7-968e-cdb00d92e305,Dan Fumi,Rikuoh,Miyazawa  Meiko [Koichi's Wife],Support Role
1bce2d1c-14f9-42f2-85c5-45fffded61a8,Hayasaka Hirara,"Papa, Hajimemashita",Ichinose Hina,Main Role
b2fc655f-a955-42d7-ac60-aa7b160fa82e,Morishita Yoshiyuki,Sauna-Man: Ase ka Namida ka Wakaranai,Obata Yoshiyuki,Support Role
b2fc655f-a955-42d7-ac60-aa7b160fa82e,Morishita Yoshiyuki,Prison Hotel,Jo Tepp,Support Role
5ef580eb-d47f-49c0-a271-a2d5426df2a8,Kitagawa Naoya,Sauna-Man: Ase ka Namida ka Wakaranai,Minoru-kun,Support Role
d28363f3-d403-4a46-b7f7-3dcece53dc74,Choi Tae Ju,"Ubai Ai, Natsu",Kang Yoon Goo,Support Role
23c8f888-7b3e-499f-b819-09c0cfc223bc,Kang Ji Young,"Soshite, Ikiru",Han Yoo Ri,Main Role
23c8f888-7b3e-499f-b819-09c0cfc223bc,Kang Ji Young,Orphan Black: Nanatsu no Idenshi,Aoyama Sara | Shiina Maoko,Main Role
23c8f888-7b3e-499f-b819-09c0cfc223bc,Kang Ji Young,Osaka Kanjousen Part 2,Ji Hyun (Ep.1),Main Role
23c8f888-7b3e-499f-b819-09c0cfc223bc,Kang Ji Young,Higanbana: Keishicho Sosa Nana ka,Nagami Kaoruko,Main Role
23c8f888-7b3e-499f-b819-09c0cfc223bc,Kang Ji Young,Tamiou,Murano Erika,Support Role
9837504b-4e49-46eb-b0ac-614bf8101cc1,Oka Mayumi,Sorezore no Dangai,Kanayama Tetsuko,Main Role
97999f63-30b6-452e-8d46-50169b9dfa16,Sawabe Yu,Dakara Watashi wa Oshimashita,Shogoin Minoru [Detective],Support Role
97999f63-30b6-452e-8d46-50169b9dfa16,Sawabe Yu,Aquarium Girl,Imada Shuuta,Support Role
e5a1d57b-2f1e-4815-920d-f165346db131,Agawa Sawako,Semi Otoko,Shono Nejiko,Support Role
840bc4e1-c5c3-4f85-8bfd-99667fb5ed4c,Yoshida Munehiro,Mood Indigo,Kido Shiro,Main Role
840bc4e1-c5c3-4f85-8bfd-99667fb5ed4c,Yoshida Munehiro,The Novelist,Kido Shiro,Support Role
771d8410-d84e-4744-9ee4-c87fdba8503e,Tsurumachi Ken,Mood Indigo,Kuzumi Haruhiko (Ep. 6),Support Role
5a6489cd-3230-481d-8a4e-40f49fa70748,Takada Sho,Hotarugusa,Katsuragi Sennosuke,Support Role
5a6489cd-3230-481d-8a4e-40f49fa70748,Takada Sho,Seishun Tantei Haruya: Otona no Aku wo Yurusanai!,Kubodera Kazuomi [Haruya's classmate],Support Role
9af999d2-e6ad-4cf9-b333-2a42cf4b5a00,Iwamoto  Hikaru,Kantan na Oshigoto desu. Ni obo shite Mita.,"Hayakawa Yu / ""Salsa",Main Role
2d99d9a8-983a-4ef7-a7bc-f4e11e9aa1f6,Watanabe Shota,Kantan na Oshigoto desu. Ni obo shite Mita.,"Yanagi Keiichi / ""Torihada""",Main Role
6cc10568-622a-44c1-8704-99b23cb0d767,Tabata Shima,Legal Heart,Murakoshi Mayu,Support Role
69046560-449d-432b-8d83-60e8e67ffdc7,Kinoshita Takayuki,Keishicho Zero Gakari Season 4,Sakuraba Yusaku,Support Role
69046560-449d-432b-8d83-60e8e67ffdc7,Kinoshita Takayuki,My Family Goes Viral,Kagari Atsushi [Akari's father/ Producer],Support Role
69046560-449d-432b-8d83-60e8e67ffdc7,Kinoshita Takayuki,Keishicho Zero Gakari Season 3,Sakuraba Yusaku,Support Role
69046560-449d-432b-8d83-60e8e67ffdc7,Kinoshita Takayuki,Keishicho Zero Gakari Season 2,Sakuraba Yusaku,Support Role
69046560-449d-432b-8d83-60e8e67ffdc7,Kinoshita Takayuki,Otoko Meshi,Ushio,Support Role
69046560-449d-432b-8d83-60e8e67ffdc7,Kinoshita Takayuki,Keishicho Zero Gakari,Sakuraba Yusaku,Support Role
69046560-449d-432b-8d83-60e8e67ffdc7,Kinoshita Takayuki,Osaka Kanjousen Part 1,[Sniper] (Ep. 4),Main Role
12f9d6cb-0939-4416-9bec-4b462af838a7,Yamashita Shinji,Sa Do,[ President],Support Role
12f9d6cb-0939-4416-9bec-4b462af838a7,Yamashita Shinji,Shiba Park,School's director,Support Role
12f9d6cb-0939-4416-9bec-4b462af838a7,Yamashita Shinji,Medamayaki no Kimi Itsu Tsubusu?,Hattori,Support Role
b0afb804-1ca9-46f9-995b-ad43cadd56d5,Ono Nonoka,Furin Shokudou Season 2,Nanako (Ep.1),Guest Role
b0afb804-1ca9-46f9-995b-ad43cadd56d5,Ono Nonoka,Retake - Toki o Kakeru Omoi,Onishi Ayako,Support Role
89e5bdfa-6091-44f1-9c44-6918ff28d26d,Nakabeppu Aoi,Furin Shokudou Season 2,Yoshie (Ep.2),Guest Role
cc47c59a-9396-44e0-b7c5-e6ecd904890a,Kurosawa Yurika,Furin Shokudou Season 2,Hitomi (Ep. 3),Guest Role
92521fe8-0ca4-40e2-ab58-989d6a9537a7,Inagaki Kurumi,TWO WEEKS,Aoyagi Hana [Daichi & Sumire's daughter],Support Role
2ad52365-0089-4dfc-8896-f22a0ad6d59f,Sakuma Yu,I Don't Love You Yet,Narumi Yū,Support Role
2ad52365-0089-4dfc-8896-f22a0ad6d59f,Sakuma Yu,KBOYS,Ishiyama Ryo,Main Role
1c164018-aa77-47fe-b934-659f8dcc199e,Yamaguchi Tomoko,Kansatsui Asagao,Natsume Chako,Support Role
1c164018-aa77-47fe-b934-659f8dcc199e,Yamaguchi Tomoko,Hello Harinezumi,Kaze Kaoru,Main Role
1c164018-aa77-47fe-b934-659f8dcc199e,Yamaguchi Tomoko,Kokoro ga Pokitto ne,Kamoda Shizuka,Main Role
8ea87723-f385-45c3-b049-79d325547616,Fujita Tom,Ogamiya Kaidan II,Gounai Shindou,Main Role
8ea87723-f385-45c3-b049-79d325547616,Fujita Tom,Rike Koi,Kosuke Inukai,Support Role
