drama_id,drama_name,native_name,year,synopsis,genres,tags,director,sc_writer,country,type,tot_eps,ep_duration,start_dt,end_dt,aired_on,org_net,tot_user_score,tot_num_user,tot_watched,content_rt,rank,popularity
2fdb800622cf29cc96b743bfc2b781365159720cf8cff37171e5f2bb76242692,Part-time Mello,파트타임 멜로,2021,"Seul Mi gets a part-time job at 'Sol&Pub' after giving up on becoming a civil servant.She dreams of new experiences and romance, but instead, unexpected things happenFrom her coworkers that don't get along to a selfish manager that dumps his mistakes on someone else!Incompatible chemistry part-time job romance between opposites begin","Comedy,  Romance","Co-workers' Relationship, Restaurant Setting, Waitress Female Lead, Secondary Couple, Older Woman/Younger Man, Web Series, Love Triangle",,['Baek Seung Hwa'],South Korea,Drama,12,1500,17/11/21,23/12/21,"Wednesday, Thursday",,7.4,249,1391,15+ - Teens 15 or older,5984,6061
82d480a71a44db178de8e81d78b30a96bfebe10094c47a88b26cb1fd4d1df994,Beginning,처음엔다그래,2021,"Everything happens for the first time, everyone is the same when it is their first time or beginning. When we start something from the beginning, we always hear the sentence ""We were all like that at first~"". Love life and different stories surrounding campus students and their struggles. A romance that reflects the reality of college students who are in the middle of their 20s.","Comedy,  Romance,  Life,  Youth","School Setting, Dancer Male Lead, Artbeat, Short Length Series, University, Web Series, Dance, Friendship",,,South Korea,Drama,24,600,16/11/21,11/3/22,"Tuesday, Friday",,7.5,64,228,Not Yet Rated,47788,15877
d01129c4d564aca0a8fcec1d392d85534f0d15b57298537ee9d1b940a715f6ba,"Fly, Again","다시, 플라이",2021,"With dreams of becoming a celebrity constantly pushing him forward, Han Yo Han decides its time to make the transition from a genius dancer to an all-around talented idol. To better pursue his dreams, he transfers to Hanbit Art High School. Unfortunately, things for Yo Han dont work out so well at his new school, especially not after an unfortunate accident steals his lifelong dreams.Despite the accident, Yo Han is doing his best to search for a new way to make his dreams come true. Coincidentally, he finds himself frequently crossing paths with the members of the dance club, Villains. The more time he spends with the dance club, the more he begins to realize an entirely new world has opened up to him. As Yo Han begins to explore this exciting new world, he meets On Ji Min, an honor student who was born to be an idol. With her family constantly pushing her to do better and be the best, she has no idea how to do anything other than overachieving. However, things for both Ji Min and Yo Han change completely after their relationship takes an unexpected turn.With new roads open before them, Yo Han and Ji Min begin to find the courage to dream new dreams. But will they be able to pursue those dreams when everyone and everything around them seems to be trying to hold them back?","Music,  Youth,  Drama","Web Series, Student Supporting Character, Student Female Lead, Student Male Lead, School Setting, Dancer Male Lead, Idol Male Lead, Teenager Supporting Character, Teenager Female Lead, Teenager Male Lead",['Oh Chung Pung'],['Jang Kyung Rim'],South Korea,Drama,10,1800,13/11/21,15/12/21,"Wednesday, Saturday",Daum Kakao TV Viki,7.4,447,1881,15+ - Teens 15 or older,6361,4974
1a12be0d990c18fa62927d5edac261144472b051615b9fe96e0aa66509cc685f,The Red Sleeve,옷소매 붉은 끝동,2021,"In Korea during the second half of the 1700s, Yi San is an aloof and perfection-loving young prince. His fathers killing haunts him, although it leaves him in the position to take the throne once his grandfather  the cruel and ruthless current king responsible for Yi Sans fathers death  dies. He has resolved to become a benevolent monarch who will reform the law when he eventually takes the throne, but the way his father was killed has scarred him emotionally.At court, he meets a young woman named Sung Deok Im. Yi San falls in love with her and tries to convince her to become his official concubine. But Sung Deok Im is strong-willed and free-spirited. She is also intelligent enough to understand that becoming a royal consort to the future king is a prestigious role, but one that would restrict her freedom and likely bring her little in the way of joy. But Yi Sans love for Sung Deok Im is true, and she starts to understand that forming a union with him could ultimately benefit his troubled realm.","Historical,  Romance,  Drama,  Melodrama","Noble Man/Common Woman, Death, Tearjerker, Joseon Dynasty, Strong Male Lead, Male Chases Female First, Smart Female Lead, Master-Servant Relationship, King Male Lead, Power Struggle","['Jung Ji In', 'Song Yeon Hwa']",['Jung Hae Ri'],South Korea,Drama,17,4800,12/11/21,1/1/22,"Friday, Saturday",MBC Viki,8.8,15895,36864,15+ - Teens 15 or older,131,280
e0538baa579346afe9c013c58fae1c8fb897ad75a6bfc740fc2be9f8875a3e52,The Mysterious Class,남고괴담,2021,"""There are 21 students in our class.""  ""What are you talking about... Your class had 20 students right from the start..!!""Peaceful class 4 of the 3rd grade of Treasure High. Friendship and a mystery thriller while doubting each other. Will they be able to find the ghost?","Mystery,  Horror,  Youth,  Supernatural","Ghost, Investigation, High School, Suspense, Student Supporting Character, Student Male Lead, School Setting, Miniseries, Web Series, Friendship",['Ha Han Me'],,South Korea,Drama,8,1200,12/11/21,31/12/21,Friday,,8.4,2531,6552,Not Yet Rated,739,1983
048faa0744ef48722b982c03e183f5a5f11b06b728f422f43bf1a0a11b090aa2,Adult Trainee,어른연습생,2021,"""Adult Trainee"" tells the tale of hormonal teenagers as their bodies mature. There is Jae Min, who gets addicted to masturbation, conservative Yu Ra who begins a risqu rendezvous with her male friend and overweight Na Eun whos never had a boyfriend before. The drama aims to express the raw and truthful worries and love stories of 18 year olds in a way that Gen Z can relate to.","Comedy,  Romance,  Youth","Steamy Kiss, Miniseries, Web Series, Multiple Mains, Friends To Lovers, Fake Relationship, Student Female Lead, Student Male Lead, School Setting, Mild Sexual Content",['Yoo Hak Chan'],,South Korea,Drama,7,2400,12/11/21,26/11/21,Friday,TVING,7.8,9812,20110,Not Yet Rated,3160,647
654f7e9b182a7b98969a24580bfd6c08e1295fe04f1e7255c8d1862b892a2ea9,"Now, We Are Breaking Up",지금 헤어지는 중입니다,2021,"As the design departments team leader of one of the nations top fashion companies, Ha Young Eun has made quite a name for herself in the fashion industry. Beautiful, trendy, and intelligent, Young Eun loves her work and shes good at what she does. But when it comes to relationships, things are a bit different. Pragmatic to a fault, Young Eun often comes across as cold-hearted, as she prioritizes stability over all else.Content in both her work and her life, Young Eun has never really been bothered by the fact that others might see her as cold. But when she meets Yoon Jae Kook, a popular freelance fashion photographer, things take an unexpected turn. The living definition of the perfect man, Jae Kook is wealthy, handsome, and intelligent, but thats not what catches Young Euns attention. Theres something more to Jae Kook that Young Eun just cant seem to ignore. As if in a dream, Young Eun and Jae Kook find themselves falling for each other. But not all fairy tales have a happy ending. Is theirs a story that will end in heartbreak or will they manage to find their own version of happily ever after, after all?","Romance,  Drama,  Melodrama","Older Woman/Younger Man, Age Gap [Drama Life], Cold Female Lead, Age Gap [Real Life], Forbidden Love, Photography, Smart Male Lead, Multiple Couples, Fate, Freelancer Male Lead",['Lee Gil Bok'],['Je In'],South Korea,Drama,16,3600,12/11/21,8/1/22,"Friday, Saturday",SBS ViuTV,6.7,7061,21957,15+ - Teens 15 or older,8855,577
a95ba33907a1fb0909e2d2b31668dda54b7d5d171899e08c62d8ddd7f94c3807,Delivery,딜리버리,2021,"The web dramarevolves around deliverygirl Kwak Doo Shik who is well-versed in martial arts. She teams up with Do Ki Hwan, the delivery agency manager, in order to find her mother. In the process, they run intoconspiring aliens who have invaded Earth.","Action,  Comedy,  Martial Arts,  Sci-Fi","Deliverywoman Female Lead, Strong Female Lead, Cold Female Lead, Alien, Fight, Short Length Series, Miniseries, Web Series",,,South Korea,Drama,8,540,12/11/21,12/11/21,Friday,,6.7,253,1101,Not Yet Rated,8864,7023
6a98a23dc6250a43fead8d1a479d49cf76fdd378b0679e61d1976b7092ad5927,Political Fever,이렇게 된 이상 청와대로 간다,2021,"A black comedy political sitcom about an Olympic gold medalist who was appointed as minister of Ministry of Culture, Sports and Tourism and is facing a kidnapping incident of her husband who is a political critic. ","Comedy,  Sitcom,  Political","Sexual Abuse, Black Comedy, Kidnapping",,"['Park Noo Ri', 'Kim Hong Ik', 'Choi Sung Jin']",South Korea,Drama,12,2160,12/11/21,12/11/21,Friday,,7.6,106,865,15+ - Teens 15 or older,47048,8050
d223458d73774c21005b884f0ac65761aabebc4b1f25bc5120e1b3eba407955e,Melancholia,멜랑꼴리아,2021,"A sexual scandal between a math teacher and a student in a prestigious high school ends in tragedy. Four years later, they meet again, now both adults, to reveal the corruption in school and to regain one's reputation as a teacher.  Ji Yoon Soo is a high school math teacher with a bright smile and a positive impression of others. She is a hard-nosed and stubborn person who has to push ahead with the decisions she has made. She is a math geek who loves solving difficult problems and teaches students to purely love math.Baek Seung Yoo is emotionless and has no light in his eyes. He used to be a math genius who appeared on a quiz program at the age of five and surprised the world by solving college-level math problems. He was admitted to MIT at the age of 10 but dropped out at the age of 12, and suddenly disappeared. ","Romance,  Drama,  Melodrama","Older Woman/Younger Man, Hidden Past, Corruption, Revenge, Childhood Trauma, Scandal, Slow Burn Romance, High School, Mathematics, Age Gap [Drama Life]",['Kim Sang Hyub'],['Kim Ji Woon'],South Korea,Drama,16,4200,10/11/21,30/12/21,"Wednesday, Thursday",tvN,7.7,5577,17782,15+ - Teens 15 or older,3953,760
