Name,Episodes,Released Year,Language,Rating,Ranking
Game Payabaht,18,2017,Thai,7.2,7591
Divorce Attorney Shin,12,2023,Korean,8.3,869
Rainbow Lagoon,2,2022,Thai,7.3,7229
Warm and Cozy,16,2015,Korean,7.5,5792
Semantic Error,8,2022,Korean,8.2,1263
"Yugure ni, Te wo Tsunagu",10,2023,Japanese,8.2,1388
Lovey Dovey,20,2016,Thai,7.2,7272
Nankyoku Tairiku,10,2011,Japanese,8.2,1237
Holy Land,4,2012,Korean,7.4,6601
Fabulous Boys,13,2013,Taiwanese,7.6,4965
You Are My Destiny,36,2020,Chinese,7.9,2541
Sweet Relationship,20,2007,Taiwanese,7.2,7603
A Little Reunion,49,2019,Chinese,8.3,842
To the Beautiful You,16,2012,Korean,7.6,5063
Giragira,8,2008,Japanese,7.1,7985
Saki,11,2013,Japanese,7.6,4535
Gangnam Scandal,123,2018,Korean,7.3,6844
Melancholia,16,2021,Korean,7.7,3956
Ie Uru Onna no Gyakushu,10,2019,Japanese,7.7,4317
The Fearless,13,2019,Taiwanese,7.7,3732
Love Playlist Season 3,12,2018,Korean,8.1,1853
Tokujo Kabachi!!,10,2010,Japanese,7.1,7887
Gakko ja Oshierarenai!,10,2008,Japanese,7.0,8353
General and I,62,2017,Chinese,7.9,2409
Freshman,12,2019,Korean,7.3,6968
Thong EK: The Herbal Master,14,2019,Thai,8.0,2053
Brother Trap,9,2023,Japanese,7.2,7262
Nanba MG5,10,2022,Japanese,8.4,721
The Best of You in My Mind,24,2020,Chinese,8.1,1717
Flowers in Fog,54,2013,Chinese,7.6,5073
Shining Like You,24,2021,Chinese,7.2,7672
Don Quixote,11,2011,Japanese,7.9,2671
Argon,8,2017,Korean,8.0,2105
What Is Love,16,2012,Taiwanese,7.4,5992
Fermentation Family,24,2011,Korean,7.6,4465
Well Dominated Love,24,2020,Chinese,7.9,2959
IS - Otoko Demo Onna Demo Nai Sei,10,2011,Japanese,7.7,3703
My Girlfriend Is an Alien,28,2019,Chinese,8.3,943
Temptation,20,2014,Korean,7.1,8085
The Classic of Mountains and Seas,46,2016,Chinese,7.5,5521
Almost Famous,24,2022,Chinese,7.5,5534
Likit Kammathep,12,2007,Thai,7.0,8185
Hua Jai Teuan,16,2014,Thai,7.1,7848
Buang Ruk Gamathep,28,2009,Thai,7.4,5985
Shitsuren Chocolatier,11,2014,Japanese,6.9,8653
49,11,2013,Japanese,7.5,5862
Last Minute Romance,10,2017,Korean,7.6,4612
"Tsumari Suki tte iitai n Dakedo,",12,2021,Japanese,7.2,7429
Falling Into You,26,2022,Chinese,8.4,586
One Well-Raised Daughter,122,2013,Korean,7.3,7072
The Witch's Game,119,2022,Korean,7.1,7960
Bo Ra! Deborah,14,2023,Korean,8.1,1696
Higuma,10,2020,Japanese,7.8,3153
Mairunovich,8,2021,Japanese,7.3,7238
Jang Ok Jung,24,2013,Korean,7.8,3368
"Hi Bye, Mama!",16,2020,Korean,8.5,512
Harvest Villa,20,2010,Korean,7.3,6657
Juvenile Justice,10,2022,Korean,8.6,373
Great Men Academy,8,2019,Thai,7.8,3017
Voice: 110 Emergency Control Room,10,2019,Japanese,7.5,5559
Decreed by Fate,16,2022,Chinese,7.9,2958
Beautiful Life,11,2000,Japanese,7.9,2395
The Legend of Qin,58,2015,Chinese,7.6,4953
At Dolphin Bay,18,2003,Taiwanese,7.3,6648
One Warm Word,20,2013,Korean,7.2,7609
In a Good Way,26,2013,Taiwanese,7.7,4067
Q Series: Close Your Eyes Before It's Dark,7,2016,Taiwanese,7.5,5591
Yuube wa Otanoshimi Deshita ne,6,2019,Japanese,7.6,5008
Innocent Lies,17,2022,Thai,7.2,7557
Love Is Science?,18,2021,Taiwanese,8.0,2356
Dangerous Love,25,2022,Chinese,7.2,7654
Hiyokko,156,2017,Japanese,8.1,1620
Hana Kimi,15,2006,Taiwanese,7.4,6355
The Charming Step Mom,26,2019,Thai,7.6,5068
Black Pean,10,2018,Japanese,8.2,1280
Yan Zhi's Romantic Story,20,2022,Chinese,7.2,7363
Special Affairs Team TEN,9,2011,Korean,8.3,1071
Will It Snow for Christmas?,16,2009,Korean,6.9,8644
Cain and Abel,20,2009,Korean,7.9,2893
Naked Fireman,4,2017,Korean,7.8,3026
Seonam Girls High School Investigators,14,2014,Korean,7.6,4938
First Love Story,6,2017,Korean,7.4,6146
Govengers,12,2018,Korean,7.6,5006
My Strange Hero,32,2018,Korean,8.1,1840
Loss:Time:Life,9,2015,Korean,7.1,8076
You Are My Hero,40,2021,Chinese,8.6,311
Novoland: Eagle Flag,56,2019,Chinese,7.9,2904
"Ashita, Watashi wa Dareka no Kanojo",12,2022,Japanese,7.5,5242
My Tooth Your Love,12,2022,Taiwanese,8.0,2184
Inspector Koo,12,2021,Korean,8.2,1468
Leverage,16,2019,Korean,8.3,1084
Fight for My Way,16,2017,Korean,8.5,516
Fly the Jumper,4,2020,Taiwanese,7.7,3957
Cherry Blossoms After Winter,8,2022,Korean,7.8,3251
ThirTEEN Terrors,13,2014,Thai,7.4,6423
Mia Archeep,19,2020,Thai,7.5,5650
Don't Say No,12,2021,Thai,7.6,4966
"Beautiful Love, Wonderful Life",100,2019,Korean,7.7,3680
Senryokugai Sousakan,10,2014,Japanese,7.5,5238
Operation Love,32,2017,Chinese,7.4,5999
Love After School Season 2,7,2018,Korean,7.2,7519
14-sai no Haha,11,2006,Japanese,7.5,5570
Today Office Tomorrow Romance,10,2020,Korean,7.1,7797
Jumong,81,2006,Korean,8.3,847
Kikazaranai Koi ni wa Riyuu ga Atte,7,2021,Japanese,7.5,5233
Nagareboshi,10,2010,Japanese,7.9,2918
Toumei na Yurikago,10,2018,Japanese,8.0,2304
The Girl Who Sees Smells,24,2023,Chinese,7.3,7138
Socho Shihatsu no Sappukei,6,2022,Japanese,7.6,5104
Light the Night,8,2021,Taiwanese,8.0,2024
Aikurushii,11,2005,Japanese,7.6,4773
Love Storm,21,2003,Taiwanese,6.8,8706
3 Days,16,2014,Korean,7.7,4309
Tomodachi Game,4,2017,Japanese,7.5,5642
Material Queen,22,2011,Taiwanese,7.4,6116
Prosecutor Princess,16,2010,Korean,7.6,4912
My MVP Valentine,18,2002,Taiwanese,7.3,6905
My Hero Series: Heart of the Motherland,8,2018,Thai,7.7,3935
Love & Wish,9,2021,Korean,7.6,4616
The Effect,3,2019,Thai,7.2,7490
Celeb to Binbo Taro,11,2008,Japanese,6.8,8732
Time of Memory,20,2021,Korean,7.0,8432
The Journey,12,2017,Chinese,7.9,2452
Strawberry Night Saga,11,2019,Japanese,7.4,5955
Sai Tarn Hua Jai,11,2017,Thai,7.2,7688
Red Eyes: Kanshi Sousa-han,10,2021,Japanese,7.6,4590
Her Bucket List,10,2021,Korean,7.3,6973
"Friend, Our Legend",20,2009,Korean,7.6,5018
Wanru's Journey,24,2023,Chinese,7.4,6060
Friends,4,2002,Japanese,7.3,6889
Ameiro Paradox,8,2022,Japanese,7.5,5289
Zhong Wu Yan,19,2010,Taiwanese,7.0,8265
My Mister,16,2018,Korean,9.0,36
Agency,16,2023,Korean,8.2,1338
A Thousand Kisses,50,2011,Korean,6.8,8784
Kindaichi Shonen no Jikenbo 5,10,2022,Japanese,7.9,2662
My Girl,10,2009,Japanese,7.6,4449
How to Buy a Friend,8,2020,Korean,7.8,3189
The In-laws,18,2022,Thai,7.7,3987
Rebirth for You,40,2021,Chinese,7.8,3608
Ancient Detective,24,2020,Chinese,8.3,988
Mirror of the Witch,20,2016,Korean,7.6,4495
Kishibe Rohan wa Ugokanai Season 2,3,2021,Japanese,7.9,2720
Shinya Shokudo 2,10,2011,Japanese,8.3,1090
The Romance of Hua Rong,24,2019,Chinese,8.0,2349
Chojin Sentai Jetman,51,1991,Japanese,7.9,2636
Love Cheque Charge,74,2014,Taiwanese,7.3,6645
Professional Single,24,2020,Chinese,8.1,1809
Love Lie Hide Fake: The Series,8,2018,Thai,6.8,8733
One Dollar Lawyer,12,2022,Korean,8.5,531
Sassy Go Go,12,2015,Korean,8.1,1619
Until We Meet Again,17,2019,Thai,8.2,1258
TRICK,10,2000,Japanese,7.9,2845
Dung Sawan Sarb,14,2015,Thai,7.2,7640
My Healing Love,80,2018,Korean,7.5,5285
Office Girls,25,2011,Taiwanese,7.6,4823
Rakuen,6,2017,Japanese,7.5,5731
Arsenal Military Academy,48,2019,Chinese,8.5,518
"Kill Me, Heal Me",20,2015,Korean,8.7,245
The Empire,16,2022,Korean,7.2,7543
Kemono ni Narenai Watashitachi,10,2018,Japanese,7.6,4399
Love in Time,24,2020,Chinese,7.6,4967
Kimcheed Radish Cubes,44,2007,Korean,7.4,6138
Kou Kou Kyoushi 2003,11,2003,Japanese,7.2,7411
Are You Safe,31,2022,Chinese,7.7,3963
President,20,2010,Korean,7.3,7194
HIStory3: Trapped,20,2019,Taiwanese,8.4,747
Sunny Again Tomorrow,121,2018,Korean,7.7,4224
Plus Nine Boys,14,2014,Korean,7.8,3392
Goodbye Dear Wife,20,2012,Korean,7.1,7905
Handsome Stewardess,6,2019,Taiwanese,7.0,8228
Rebel: Thief Who Stole the People,30,2017,Korean,8.5,451
Secret Campus,24,2006,Korean,7.3,6818
Lovely Writer,12,2021,Thai,8.1,1851
Mood Indigo,6,2019,Japanese,7.5,5769
My Super Hero,37,2022,Chinese,7.8,3187
Secret Angel,10,2012,Chinese,7.2,7522
A Boss and a Babe,12,2023,Thai,7.8,3127
The Love Equations,27,2020,Chinese,8.1,1727
A Step into the Past,40,2018,Chinese,7.5,5599
Cupid of Zhou Dynasty,24,2019,Chinese,7.5,5665
3 Papas,10,2017,Japanese,7.7,3664
100% Era,8,2021,Korean,7.5,5629
No Regrets in Life,12,2022,Taiwanese,7.5,5354
GARO,25,2005,Japanese,7.9,2838
First Love Story Season 3,6,2018,Korean,7.3,6710
Itsuka Hi no Ataru Basho de,10,2013,Japanese,7.5,5525
Hometown Cha-Cha-Cha,16,2021,Korean,8.7,199
Super Star Academy,30,2016,Chinese,7.2,7461
My Idol,24,2018,Chinese,7.4,6019
Revenant,12,2023,Korean,8.7,243
Love in Twilight,12,2021,Thai,7.7,3866
Guardians of the Ancient Oath,45,2020,Chinese,7.4,6419
Fun Fueng,16,2014,Thai,7.5,5823
Welcome 2 Life,32,2019,Korean,8.2,1211
Silence,19,2006,Taiwanese,7.6,5067
My Secret Bride,18,2019,Thai,8.3,1050
How to Meet a Perfect Neighbor,20,2007,Korean,7.0,8218
Bad Papa,32,2018,Korean,7.7,4204
Maiko-san Chi no Makanai-san,9,2023,Japanese,8.2,1175
Hi Flower Season 2,17,2017,Chinese,7.6,5078
Gay OK Bangkok 2,7,2017,Thai,7.6,4832
Never Gone,36,2018,Chinese,7.5,5464
Triple Fling Season 2,8,2019,Korean,7.4,6610
Advance Bravely,30,2017,Chinese,7.8,3505
Kishiryu Sentai Ryusoulger,48,2019,Japanese,7.5,5756
Hidarime Tantei EYE,8,2010,Japanese,7.6,4791
The Secret Romantic Guesthouse,18,2023,Korean,8.2,1341
Jun & Jun,8,2023,Korean,7.4,6161
Lucky Club,24,2022,Chinese,7.4,6535
Kimi no Hana ni Naru,10,2022,Japanese,7.9,2582
Bride of the Century,16,2014,Korean,7.9,2936
Omotesando Koukou Gasshoubu,10,2015,Japanese,7.9,2981
King the Land,16,2023,Korean,8.4,797
Kularb Rai Kong Naai Tawan,15,2014,Thai,7.3,6875
Gift,11,1997,Japanese,7.5,5921
Mysterious Incredible Terminator,16,2008,Taiwanese,7.6,4391
Akumu-Chan,11,2012,Japanese,7.7,4241
Miss Ye in Wonderland,24,2022,Chinese,7.5,5779
Neung Nai Suang,17,2005,Thai,7.5,5853
Nemesis,10,2021,Japanese,7.5,5524
Three-Body,30,2023,Chinese,8.2,1415
Goblin,16,2016,Korean,8.8,120
The Days,8,2023,Japanese,8.1,1753
You Are The Only One,120,2014,Korean,7.3,6949
Best Mistake Season 3,16,2021,Korean,7.2,7314
Marry Me Now,50,2018,Korean,7.9,2719
Marumaru Tsuma,10,2015,Japanese,7.2,7308
Childless Comfort,40,2012,Korean,7.4,6563
Rock 'n' Road,16,2014,Taiwanese,7.5,5365
Unique Lady Season 2,12,2019,Chinese,7.9,2831
Hip Hop Teacher,10,2017,Korean,7.2,7277
So Not Worth it,12,2021,Korean,7.8,3237
Lucky Romance,16,2016,Korean,7.7,3729
Yangotonaki Ichizoku,11,2022,Japanese,7.5,5397
4 Reasons Why I Hate Christmas,6,2019,Korean,7.5,5510
Come! Jang Bo Ri,52,2014,Korean,7.8,3066
The Journey of Flower,58,2015,Chinese,8.1,1644
Loving You,12,2002,Korean,6.9,8460
Ruk Nee Jae Jad Hai,13,2014,Thai,7.3,6839
I Give My First Love to You,7,2019,Japanese,7.6,4588
Spring Turns to Spring,32,2019,Korean,8.0,2253
My Kung Fu Girlfriend,24,2022,Chinese,7.3,6785
Eulachacha Waikiki Season 2,16,2019,Korean,8.1,1633
On the Verge of Insanity,16,2021,Korean,8.1,1682
Coffee Shop,8,2022,Thai,7.3,6813
Asa ga Kita,156,2015,Japanese,8.4,784
Monchouchou Globalhouse,12,2019,Korean,7.2,7662
Naughty Boy,5,2018,Korean,6.9,8569
Flight to You,39,2022,Chinese,8.1,1545
Keiji Yugami,10,2017,Japanese,8.0,2127
The Rational Life,35,2021,Chinese,8.2,1368
Candle in the Tomb: The Lost Caverns,18,2020,Chinese,7.9,2579
Divorce Lawyer in Love,18,2015,Korean,7.3,6804
Haken no Hinkaku,10,2007,Japanese,7.6,4418
Crime Squad,16,2011,Korean,7.4,6061
Dream Knight,12,2015,Korean,7.3,6929
Doctor Detective,32,2019,Korean,7.7,3784
BORDER,9,2014,Japanese,8.1,1572
Crossroad Bistro,30,2021,Chinese,7.8,2999
The Law Cafe,16,2022,Korean,8.1,1878
Legend of the Dragon Pearl: The Indistinguishable Road,90,2017,Chinese,7.7,4256
The Fire Series: Fai Ruk Game Rorn,14,2016,Thai,7.6,5003
GTO: Remake,11,2012,Japanese,8.0,2153
Class of Lies,16,2019,Korean,8.3,892
A Robot in the Orange Orchard,30,2022,Chinese,7.7,3669
Sunao ni Narenakute,11,2010,Japanese,7.4,6349
Sapai Import,17,2020,Thai,7.9,2400
Hirugao,11,2014,Japanese,7.8,3358
Supervisor Husband,22,2023,Chinese,7.7,4218
Mada Kekkon Dekinai Otoko,10,2019,Japanese,7.9,2592
Luead Mungkorn: Suea,9,2015,Thai,7.6,4471
Bitch X Rich,10,2023,Korean,7.5,5726
Love in Time,6,2018,Korean,7.1,8022
You Are My Make Up Artist,16,2022,Thai,7.3,7166
Bull Fighting,17,2007,Taiwanese,7.2,7372
Our Beloved Summer,16,2021,Korean,8.7,221
Kuragehime,10,2018,Japanese,7.9,2737
Khun Chai Phutthiphat,10,2013,Thai,7.9,2663
Search,10,2020,Korean,8.2,1498
The Advisors Alliance,42,2017,Chinese,8.2,1241
N no Tame ni,10,2014,Japanese,8.4,806
The Silent Sea,8,2021,Korean,8.1,1564
Exactly What’s Going On?,10,2015,Korean,7.0,8445
Hwang Jin Yi,24,2006,Korean,7.9,2571
Top Management,16,2018,Korean,7.6,4908
U-Prince: The Extroverted Humanist,4,2017,Thai,7.4,5939
King Is Not Easy,20,2017,Chinese,7.6,4899
Krong Kam,19,2019,Thai,7.9,2984
Who Rules the World,40,2022,Chinese,8.7,246
Ultraman X,22,2015,Japanese,7.6,4828
Hito wa Mita Me ga 100%,10,2017,Japanese,7.3,6727
The Chang'an Youth,24,2020,Chinese,8.0,2371
Young Lady and Gentleman,52,2021,Korean,7.2,7381
Lesson in Love,12,2022,Taiwanese,7.8,3170
Shiyakusho,10,2019,Japanese,7.7,3824
My Coach,16,2022,Thai,7.2,7410
Yamada-kun to 7-nin no Majo,8,2013,Japanese,7.4,6248
MONSTERS,8,2012,Japanese,7.4,6561
Special Affairs Team TEN Season 2,12,2013,Korean,8.1,1598
Happy Ending Romance,8,2022,Korean,7.1,7808
Contractual Love,18,2021,Chinese,7.1,7890
Osen,10,2008,Japanese,7.5,5611
TWO WEEKS,10,2019,Japanese,7.9,2850
Reset,15,2022,Chinese,9.1,31
Ode to Joy Season 2,55,2017,Chinese,8.2,1218
Aishiteiru to Ittekure,12,1995,Japanese,7.6,4613
Beyond Evil,16,2021,Korean,8.7,187
The Forbidden Woman,22,2022,Chinese,7.3,7243
"Delightful Girl, Choon Hyang",17,2005,Korean,7.5,5180
Weaving a Tale of Love,40,2021,Chinese,7.5,5441
A Man's Story,20,2009,Korean,7.8,3603
Koe Girl,10,2018,Japanese,7.5,5286
Love Cells Season 2,12,2015,Korean,6.8,8749
Autumn's Concerto,21,2009,Taiwanese,8.5,568
Daughters,24,2020,Thai,8.3,863
Alchemy of Souls,20,2022,Korean,9.1,26
Dance of the Phoenix,30,2020,Chinese,7.6,4573
Spring Day,20,2005,Korean,7.2,7712
Miss No Good,14,2008,Taiwanese,7.0,8399
Love of Replica,16,2023,Chinese,7.6,4397
Manner of Death,14,2020,Thai,8.3,1125
Toshi Densetsu no Onna 2,7,2013,Japanese,7.3,6746
"Komi-san wa, Komyushou Desu",8,2021,Japanese,7.6,4707
Dating Agency: Cyrano,16,2013,Korean,7.3,6874
Mae Krua Kon Mai,26,2021,Thai,7.7,4226
The Vineyard Man,16,2006,Korean,7.4,6534
Love's Lies,44,2018,Chinese,7.5,5833
Sud Sai Pan,17,2013,Thai,7.5,5868
Zombie Detective,24,2020,Korean,8.2,1491
'Cause You're My Boy,12,2018,Thai,6.9,8473
Well-Intended Love Season 2,16,2020,Chinese,7.6,4853
Cat's Bar,10,2019,Korean,7.8,3371
Dating Class,16,2019,Korean,7.9,2931
Noble Aspirations Season 2,18,2016,Chinese,7.9,2397
Kimi Hannin Janai yo ne?,10,2008,Japanese,7.0,8222
Naeil's Cantabile,16,2014,Korean,7.5,5708
Royal Doctor,22,2023,Thai,7.7,4113
My Bossy Wife,28,2022,Chinese,7.6,5027
Koo Prab Chabab Hua Jai,14,2015,Thai,7.1,7982
Legal High,16,2019,Korean,7.6,4485
The King of Dramas,18,2012,Korean,7.8,3644
Our Blooming Youth,20,2023,Korean,8.1,1687
Warning Ahead,23,2022,Chinese,7.5,5544
Mimi,4,2014,Korean,7.2,7486
Princess of Lanling King,47,2016,Chinese,7.5,5900
The Legend of the Blue Sea,20,2016,Korean,8.3,835
U-Prince:  The Handsome Cowboy,8,2016,Thai,7.2,7616
Delicious Gakuin,13,2007,Japanese,7.0,8354
Decoy: Part 1,6,2023,Korean,7.9,2466
My Heart Twinkle Twinkle,26,2015,Korean,7.1,7858
"Tamra, the Island",16,2009,Korean,7.2,7533
Backstreet Rookie,16,2020,Korean,7.6,4522
Noble Aspirations,58,2016,Chinese,8.1,1863
Tsukuritai Onna to Tabetai Onna,10,2022,Japanese,8.2,1303
Shinhannin Flag 2,10,2022,Japanese,7.6,4395
The Legend of Zhuohua,40,2023,Chinese,8.3,1076
The Next Stop W,24,2023,Chinese,7.2,7397
Shinzanmono,10,2010,Japanese,7.8,3520
Qing Luo,24,2021,Chinese,8.0,2109
Cheongdamdong Alice,16,2012,Korean,7.2,7734
Shining Just for You,25,2022,Chinese,7.5,5248
Kol Ruk Luang Jai,16,2011,Thai,7.4,6588
Watashi no Kaseifu Nagisa-san,9,2020,Japanese,7.6,4744
Nazo no Tenkousei,12,2014,Japanese,7.2,7457
"At a Distance, Spring Is Green",12,2021,Korean,8.3,890
The Crossing Hero,28,2015,Taiwanese,7.3,6725
Please Don't Date Him,10,2020,Korean,7.7,3828
"Hyde, Jekyll, Me",20,2015,Korean,7.4,6196
Seirei no Moribito Season 2,9,2017,Japanese,8.0,2177
Poseidon,16,2011,Korean,6.8,8701
Money's Warfare,20,2007,Korean,7.2,7697
Love in the Moonlight,18,2016,Korean,8.2,1199
Legal High 2,10,2013,Japanese,8.3,972
Hearts of Nineteen,167,2006,Korean,7.5,5908
Jao Sao Jamloei,17,2022,Thai,7.7,3797
Love and Fortune,12,2018,Japanese,7.0,8179
Would You Like a Cup of Coffee?,12,2021,Korean,8.0,2066
180 Degree Longitude Passes Through Us,8,2022,Thai,7.9,2697
"Nee Sensei, Shiranai no?",6,2019,Japanese,7.4,6596
The Long Ballad,49,2021,Chinese,8.7,231
The Way We Were,16,2014,Taiwanese,7.7,3767
Ryusei no Kizuna,10,2008,Japanese,8.0,2065
LADY - Saigo no Hanzai Profile,10,2011,Japanese,7.4,6399
Gokushufudo,10,2020,Japanese,8.2,1418
Suzuki Sensei,10,2011,Japanese,7.6,4439
Pop Out Boy!,10,2020,Korean,7.7,4208
Boku Dake no Madonna,11,2003,Japanese,6.9,8558
Positive Physique,6,2016,Korean,7.3,6772
Exclusive Fairytale,24,2023,Chinese,8.4,750
Love and Deception,16,2022,Thai,7.7,3673
Girls' Generation 1979,8,2017,Korean,8.1,1613
"Attention, Love!",15,2017,Taiwanese,7.9,2540
Kimi wa Petto,10,2003,Japanese,7.7,4216
Cool Doji Danshi,12,2023,Japanese,8.1,1532
Juuyou Sankounin Tantei,8,2017,Japanese,7.7,4173
W.H.Y.,10,2018,Korean,7.9,2520
Number Six,8,2018,Korean,6.8,8717
Luv Pub,10,2018,Korean,7.4,6431
Kamen Rider Kabuto,49,2006,Japanese,7.7,4282
Ashita mo Kitto Kimi ni Koi wo Suru.,4,2016,Japanese,7.3,6632
Do Do Sol Sol La La Sol,16,2020,Korean,7.7,4262
"Good Bye, My Princess",52,2019,Chinese,8.2,1155
Love for Two Lives,32,2022,Chinese,7.5,5409
Tears in Heaven,41,2021,Chinese,7.7,4099
Plus & Minus,12,2022,Taiwanese,7.6,4436
Kimi to Sekai ga Owaru Hi ni Season 2,6,2021,Japanese,7.3,7108
Age of Youth,12,2016,Korean,8.5,427
MoMo Love,13,2009,Taiwanese,6.9,8652
The Great Merchant,30,2010,Korean,7.5,5728
Let's Shake It!,25,2017,Chinese,7.8,3511
One Ordinary Day,8,2021,Korean,8.5,490
Boku Dake ga Inai Machi,12,2017,Japanese,8.4,662
Deja Vu,22,2013,Taiwanese,7.0,8291
My First First Love,8,2019,Korean,7.7,3842
Grand Prince,20,2018,Korean,7.8,3356
"The Starry Night, the Starry Sea Season 2",34,2017,Chinese,7.5,5453
The Painter of the Wind,20,2008,Korean,7.9,2700
Please Don't Spoil Me Season 3,24,2022,Chinese,7.8,3512
Long Khong,8,2020,Thai,6.9,8594
Marry Me!,10,2020,Japanese,7.9,2853
Once Upon a Time... in My Heart,12,2016,Thai,7.8,3451
Suishou no Kodou,5,2016,Japanese,7.9,2914
To My Star,9,2021,Korean,8.1,1706
The K2,16,2016,Korean,8.2,1490
Torranee Ni Nee Krai Krong,17,2012,Thai,7.6,4456
Angel's Revenge,103,2014,Korean,7.3,7183
Kamen Rider Decade,31,2009,Japanese,7.3,6756
Wok of Love,38,2018,Korean,8.0,2226
Original Sin,24,2018,Chinese,8.0,2043
Kimi to Sekai ga Owaru Hi ni,10,2021,Japanese,7.6,4870
Tokyo Ghost Trip,13,2008,Japanese,7.1,8102
Watashi ga Kemono ni Natta Yoru,4,2021,Japanese,7.2,7333
Love (ft. Marriage and Divorce),16,2021,Korean,6.9,8597
Starman - This Star's Love,10,2013,Japanese,7.2,7532
Prosecution Elite,40,2023,Chinese,7.5,5241
Kiseki no Hito,8,2016,Japanese,7.8,3035
My Beautiful Bride,16,2015,Korean,7.9,2561
BG: Personal Bodyguard Season 2,7,2020,Japanese,7.8,3574
Wife's Revenge,24,2021,Chinese,6.8,8723
Evil Minds,24,2015,Chinese,8.0,2240
dele,8,2018,Japanese,8.4,676
Angry Mom,16,2015,Korean,8.3,1132
Enigma,4,2023,Thai,8.6,401
Today's Webtoon,16,2022,Korean,7.9,2508
Bad Guys: City of Evil,16,2017,Korean,7.7,4360
Different Dreams,40,2019,Korean,7.9,2765
TharnType,12,2019,Thai,7.7,4007
Q Series: Life Plan A and B,6,2016,Taiwanese,7.6,4817
The Dark Lord,48,2018,Chinese,7.9,2405
My Mowgli Boy,50,2019,Chinese,7.4,6245
Across the Ocean to See You,44,2017,Chinese,8.0,2241
Tree of Heaven,10,2006,Korean,7.5,5264
Can You Deliver Time? 2002,8,2021,Korean,7.8,3316
Nang Rai,15,2019,Thai,7.2,7250
Shizuka-chan to Papa,8,2022,Japanese,8.1,1654
Wonderful Fate,16,2021,Chinese,7.4,6389
The Sleepless Princess,35,2020,Chinese,8.0,2115
My Deepest Dream,30,2022,Chinese,7.9,2876
Rookie Agent Rouge,45,2016,Chinese,8.1,1519
The Backlight of Love,11,2015,Chinese,7.0,8332
Unlock My Boss,12,2022,Korean,8.0,2178
Repeat,10,2018,Japanese,7.2,7554
"Do You ""Truth or Dare"" with Me?",2,2019,Korean,7.3,6996
Caught in the Heartbeat,40,2018,Chinese,7.7,4057
Rakshasa Street,24,2017,Chinese,7.8,3513
Turn Left Turn Right,10,2020,Thai,7.6,4711
My Name Is Busaba,16,2020,Thai,7.6,4688
Hammer Session!,11,2010,Japanese,7.7,3773
When You Love Yourself,6,2018,Korean,7.8,3225
Wait in Beijing,46,2020,Chinese,7.1,7912
Best Mistake,15,2019,Korean,7.7,3778
My Little Baby,16,2016,Korean,7.4,6233
My Unfamiliar Family,16,2020,Korean,8.4,704
P.S. I Hate You,18,2022,Thai,8.3,856
"Itsuka, Nemuri ni Tsuku Hi",6,2019,Japanese,7.9,2503
Aogeba Toutoshi,8,2016,Japanese,8.0,2142
Finland Papa,6,2023,Korean,7.4,6502
Tenchuu-Yami no Shiokinin,8,2014,Japanese,7.5,5313
Kekkon Dekinai Otoko,12,2006,Japanese,8.1,1761
Drunken to Love You,30,2011,Taiwanese,7.5,5446
Surgeons,44,2017,Chinese,8.2,1409
Renai Mangaka,11,2021,Japanese,7.8,3039
Mirai Nikki,11,2012,Japanese,7.3,6674
Rose In Da House,7,2022,Thai,7.7,3918
Mon Jun Tra,11,2013,Thai,7.7,4291
Colorful Love: Genderless Danshi ni Aisareteimasu,10,2021,Japanese,7.9,2813
Season Love,50,2017,Chinese,7.3,6845
HIStory3: Make Our Days Count,20,2019,Taiwanese,8.0,2207
Hiru Season 2,6,2022,Japanese,7.5,5804
Eien no Kinou,8,2022,Japanese,8.1,1606
Cuo Dian Yuan Yang,25,2012,Chinese,7.8,3001
Jao Sao Rim Tang,10,2010,Thai,6.9,8664
"Muchuu-sa, Kimi ni",5,2021,Japanese,7.9,2991
Bangkok Love Stories: Objects of Affection,13,2019,Thai,7.3,6833
Oasis,16,2023,Korean,7.7,4260
Shikaotoko Aoniyoshi,10,2008,Japanese,7.2,7778
Long Time No See,42,2018,Chinese,7.2,7418
Sleepless Society: Insomnia,13,2019,Thai,8.0,2162
Boku to Star no 99 Nichi,10,2011,Japanese,7.3,7213
The [email protected],24,2017,Korean,7.5,5454
Unlucky Ploy,16,2020,Thai,7.6,4515
Mare,156,2015,Japanese,8.1,1808
The Legend of the Condor Heroes,52,2017,Chinese,8.1,1569
Please Be Married Season 2,30,2021,Chinese,7.5,5717
Pure Melo District,4,2020,Korean,7.3,7033
Teenage Mom,8,2017,Thai,7.4,6385
Delete,8,2023,Thai,7.7,4343
Young Blood,42,2019,Chinese,8.3,965
Shuriken Sentai Ninninger,47,2015,Japanese,7.2,7629
The Last Empress,52,2018,Korean,7.9,2391
Legend of Concubine Zhen Huan,76,2012,Chinese,8.5,472
"I'm Sorry, I Love You",16,2004,Korean,8.0,2180
Wulin Heroes,22,2023,Chinese,7.8,3169
Guilty Akuma to Keiyakushita Onna,11,2010,Japanese,7.7,3708
Saru Lock,13,2009,Japanese,7.2,7571
Shujin-ko,6,2019,Japanese,7.4,6025
The Legend of Xiao Chuo,48,2020,Chinese,7.8,3510
"MARS - Tada, Kimi wo Aishiteru",10,2016,Japanese,7.2,7578
