Name,Episodes,Released Year,Language,Rating,Ranking
Luead Mungkorn: Singh,10,2015,Thai,7.5,5880
Wayupak Montra,8,2010,Thai,7.4,6411
Fashion 70's,28,2005,Korean,7.2,7550
Voice Season 3: City of Accomplices,16,2019,Korean,8.3,882
Sweet Munchies,12,2020,Korean,6.9,8617
Hometown,12,2021,Korean,7.5,5803
Hana ni Keda Mono Season 2,5,2019,Japanese,7.2,7581
Fabulous 30,76,2014,Taiwanese,7.6,5149
I Really Really Like You,34,2006,Korean,7.3,6883
When the Camellia Blooms,40,2019,Korean,8.4,665
The Blessed Bride,24,2022,Chinese,7.1,8010
Tokyo Alice,12,2017,Japanese,7.3,6775
Garasu no Ashi,4,2015,Japanese,7.6,4547
The King's Affection,20,2021,Korean,8.3,1069
Detention,8,2020,Taiwanese,7.7,4077
Senior Secret Love: Puppy Honey,6,2016,Thai,7.1,7862
Delayed Justice,20,2020,Korean,7.7,3690
Watashi no Oyome-kun,11,2023,Japanese,7.6,5058
Sawan Biang,12,2008,Thai,7.4,6041
Love You to Another Star,30,2021,Chinese,7.2,7623
The One and Only,16,2021,Korean,7.9,2877
Rattan,30,2021,Chinese,8.0,1982
Women of the Sun,20,2008,Korean,7.3,7096
Kaito Royale,9,2011,Japanese,7.1,7844
First Love It's You,24,2021,Chinese,7.2,7695
Seasons of Blossom,16,2022,Korean,8.4,624
The War of Flowers,18,2022,Thai,7.1,8017
Oh! My Tsundere! Koi wa Bessatsu de,7,2021,Japanese,7.7,4244
Super Family,40,2017,Korean,7.9,2725
Master of My Own,32,2022,Chinese,8.1,1778
Hello My Girl,24,2022,Chinese,7.6,4539
Dr. Gang,16,2006,Korean,7.4,6493
Atom no Ko,9,2022,Japanese,7.7,3864
A Time Called You,12,2023,Korean,8.2,1481
Sparrow,61,2016,Chinese,8.0,2117
Delicacies Destiny,16,2022,Chinese,7.7,4293
The Weasel Grave,20,2017,Chinese,7.6,4807
Mine,16,2021,Korean,8.3,1120
Fight Song,10,2022,Japanese,7.9,2559
Cry Me A River of Stars,24,2021,Chinese,7.5,5340
Celebrity,12,2023,Korean,8.3,840
Doubles - Futari no Keiji,9,2013,Japanese,7.5,5714
"My Boss, My Hero",10,2006,Japanese,8.1,1628
Kirawareru Yuuki,10,2017,Japanese,7.5,5785
First Sword of Wudang,39,2021,Chinese,7.3,7165
Love's Relativity,33,2014,Chinese,7.3,6864
The Princess of Destiny,18,2023,Chinese,6.8,8724
Forest,32,2020,Korean,7.8,3305
About Youth,8,2022,Taiwanese,8.0,1984
Just One Bite: Pilot,2,2018,Korean,7.6,5045
Money Heist: Korea - Joint Economic Area - Part 1,6,2022,Korean,8.3,987
U-Prince: The Gentle Vet,4,2016,Thai,7.4,6185
Chugakusei Nikki,11,2018,Japanese,8.1,1810
Race,12,2023,Korean,7.3,6660
Monstrous,6,2022,Korean,7.5,5368
Stranger Kim,6,2019,Korean,7.3,6823
Futmalls.com,8,2020,Taiwanese,7.5,5391
Falling Before Fireworks,23,2023,Chinese,8.1,1738
The Cupids Series: Kammathep Hunsa,8,2017,Thai,7.7,3795
Plerng Chimplee,15,2014,Thai,7.1,8056
Konkatsu!,11,2009,Japanese,6.8,8679
Haechi,48,2019,Korean,8.1,1773
See You Again,45,2019,Chinese,7.7,3694
Meet by Window,36,2021,Chinese,7.2,7584
Cat Boyfriend,8,2021,Chinese,7.1,7889
Likit Haeng Jan,14,2019,Thai,8.1,1877
Big,16,2012,Korean,7.0,8196
Secret Garden,20,2010,Korean,8.2,1256
Devil Sister,18,2022,Thai,7.0,8375
ST Aka to Shiro no Sousa File,10,2014,Japanese,8.1,1915
Fox in the Screen,22,2016,Chinese,7.3,6944
Splendid Politics,50,2015,Korean,7.6,5046
We Are Dating Now,16,2002,Korean,6.9,8564
Love Area Part 1,6,2021,Thai,7.1,7860
Hakuouki SSL: Sweet School Life,6,2015,Japanese,7.0,8382
Detective Chinatown,12,2020,Chinese,7.8,2995
Onzoshi Boys,18,2019,Japanese,7.6,4856
My Handsome Roommate,20,2021,Chinese,7.4,6227
I Don't Love You Yet,16,2019,Japanese,8.0,2322
Sexy Voice and Robo,11,2007,Japanese,7.3,6699
Late Night Restaurant,20,2015,Korean,7.8,3363
Morrasoom Sawat,16,2015,Thai,7.6,4769
Otona Joshi,10,2015,Japanese,7.6,5001
Love Mechanics,10,2022,Thai,8.2,1473
Gintama: Mitsuba hen,3,2017,Japanese,7.6,4370
Kekkon Dekinai ni wa Wake ga Aru,10,2021,Japanese,7.3,6978
Final Cut,9,2018,Japanese,7.6,4746
Kieta Hatsukoi,10,2021,Japanese,8.3,950
Star's Echo,2,2004,Korean,7.0,8257
"Ghost Host, Ghost House",8,2022,Thai,7.5,5488
It's Beautiful Now,50,2022,Korean,7.9,2655
Missing Noir M,10,2015,Korean,8.3,1062
No Boundary Season 2,20,2021,Chinese,8.0,2047
