actor_id,actor_name,drama_name,character_name,role
94583a88-f83e-49b1-8a88-83c008428435,Indy Intad Leowrakwong,Beauty War,Due,Main Role
94583a88-f83e-49b1-8a88-83c008428435,Indy Intad Leowrakwong,Club Friday Season 11,{Love Crosses the Line} Yo,Main Role
94583a88-f83e-49b1-8a88-83c008428435,Indy Intad Leowrakwong,The Crown Princess,Prince Aaron Mark Andre Philips,Support Role
94583a88-f83e-49b1-8a88-83c008428435,Indy Intad Leowrakwong,The Cupids Series: Loob Korn Kammathep,Daniel,Main Role
94583a88-f83e-49b1-8a88-83c008428435,Indy Intad Leowrakwong,Love Songs Love Stories: Kawee Bod Kao,Farm,Main Role
44c2e083-94da-44ad-be47-c0608e87c4ff,Gypsy Keerati Mahapreukpong,The Demon,"""Nam"" Neera",Main Role
44c2e083-94da-44ad-be47-c0608e87c4ff,Gypsy Keerati Mahapreukpong,The Fallen Leaf,Manow,Support Role
44c2e083-94da-44ad-be47-c0608e87c4ff,Gypsy Keerati Mahapreukpong,Love Songs Love Series: Gor Koey Sunya,Muey,Main Role
44c2e083-94da-44ad-be47-c0608e87c4ff,Gypsy Keerati Mahapreukpong,Oh My Ghost,Khaopun,Main Role
44c2e083-94da-44ad-be47-c0608e87c4ff,Gypsy Keerati Mahapreukpong,Team Lah Torachon,Eve,Main Role
44c2e083-94da-44ad-be47-c0608e87c4ff,Gypsy Keerati Mahapreukpong,Chai Mai Jing Ying Tae,Angie,Support Role
44c2e083-94da-44ad-be47-c0608e87c4ff,Gypsy Keerati Mahapreukpong,Kam Pood Tee Hai Pai,Nada,Main Role
44c2e083-94da-44ad-be47-c0608e87c4ff,Gypsy Keerati Mahapreukpong,Bangkok Bachelors,Mind,Main Role
44c2e083-94da-44ad-be47-c0608e87c4ff,Gypsy Keerati Mahapreukpong,Sanaeha Karm Sen,Nicha,Main Role
44c2e083-94da-44ad-be47-c0608e87c4ff,Gypsy Keerati Mahapreukpong,Rak Fun Thalob,Wisha,Main Role
44c2e083-94da-44ad-be47-c0608e87c4ff,Gypsy Keerati Mahapreukpong,Puer Tur,Dao,Support Role
44c2e083-94da-44ad-be47-c0608e87c4ff,Gypsy Keerati Mahapreukpong,Leh Ratree,"Pakinee Suttagarn / ""Pa""",Support Role
c2cb23c7-7df0-4932-b30f-02b0a5c3d9a8,Pat Chatburirak,The Demon,"""Yang"" Phuthara Phetchamekha",Support Role
c2cb23c7-7df0-4932-b30f-02b0a5c3d9a8,Pat Chatburirak,"Dear Doctor, I'm Coming for Soul",Kheeta,Support Role
c2cb23c7-7df0-4932-b30f-02b0a5c3d9a8,Pat Chatburirak,My Ride,Por [Doctor],Support Role
c2cb23c7-7df0-4932-b30f-02b0a5c3d9a8,Pat Chatburirak,Voice,Dan,Support Role
c2cb23c7-7df0-4932-b30f-02b0a5c3d9a8,Pat Chatburirak,Por Yung Lung Mai Wahng,Venice,Support Role
c2cb23c7-7df0-4932-b30f-02b0a5c3d9a8,Pat Chatburirak,Paen Rai Long Tai Wa Rak,"Phanumat Ritlueprakarn / ""Tawan""",Main Role
c2cb23c7-7df0-4932-b30f-02b0a5c3d9a8,Pat Chatburirak,Bunlang Dok Mai,Karan,Support Role
23f21111-cead-4590-9097-210c5137363f,Michelle Behrmann,The Demon,Phimrak,Support Role
23f21111-cead-4590-9097-210c5137363f,Michelle Behrmann,Soot Lay Sanaeha,"Sudarampai / ""Nuda""",Support Role
23f21111-cead-4590-9097-210c5137363f,Michelle Behrmann,Nai Yim Mayom Waan,Benja Kaekai,Main Role
